facility_code,facility_name,network_id,network_region,latitude,longitude,unit_code,unit_code_display,fueltech_id,status_id,capacity_registered,capacity_maximum,capacity_storage,max_generation,registered_date,expected_closure_date,data_first_seen,data_last_seen
CETHANA,Cethana,NEM,TAS1,-41.480804,146.134511,CETHANA,CETHANA,hydro,operating,85,100,,101.5152,,2099-12-31T14:00:00+10:00,2005-05-16T17:05:00+10:00,2026-08-01T16:20:00+10:00
CHALLWF,Challicum Hills,NEM,VIC1,-37.395466,143.10459,CHALLHWF,CHALLHWF,wind,operating,52.5,52,,57.9999,,2029-12-31T14:00:00+10:00,2009-07-01T00:05:00+10:00,2026-08-01T16:20:00+10:00
CHPSTWF,Chepstowe,NEM,VIC1,-37.596503,143.499582,CHPSTWF1,CHPSTWF1,wind,operating,6.15,6,,,,2038-12-31T14:00:00Z,,
CHYTWF,Cherry Tree,NEM,VIC1,-37.1018,145.2656,CHYTWF1,CHYTWF1,wind,operating,57.6,57,,57.6,,2049-12-31T14:00:00+10:00,2020-05-01T18:40:00+10:00,2026-08-01T16:20:00+10:00
CHILDSF,Childers,NEM,QLD1,-25.305189,152.402663,CHILDSF1,CHILDSF1,solar_utility,operating,64.38,56,,56.56,,2048-12-31T14:00:00+10:00,2019-02-06T15:10:00+10:00,2026-08-01T16:20:00+10:00
CHBESS,Chinchilla,NEM,QLD1,-26.918551,150.745399,CHBESS1,CHBESS1,battery,operating,134,100,200,100.0497,,2038-12-31T14:00:00+10:00,2024-10-31T11:10:00+10:00,2026-08-01T16:20:00+10:00
CBWWBA,Christies Beach,NEM,SA1,-35.125958,138.47135,CBWWBA1,CBWWBA1,battery,operating,2.16,2.14,4.32,2.246,,2044-12-31T14:00:00+10:00,2024-09-18T12:10:00+10:00,2026-08-01T15:40:00+10:00
CBWWBA,Christies Beach,NEM,SA1,-35.125958,138.47135,CBWWPV1,CBWWPV1,solar_utility,operating,2.75,2,,,,2040-12-31T14:00:00Z,,
CBWWBA,Christies Beach,NEM,SA1,-35.125958,138.47135,CBWWBG1,CBWWBG1,bioenergy_biogas,operating,0.66,0.66,,,,2040-12-31T14:00:00Z,,
CBWWBA,Christies Beach,NEM,SA1,-35.125958,138.47135,CBWWDG1,CBWWDG1,distillate,operating,2,1,,,,2040-12-31T14:00:00Z,,
CBWWBA,Christies Beach,NEM,SA1,-35.125958,138.47135,CBWWDG2,CBWWDG2,distillate,operating,0.72,0.72,,,,2040-12-31T14:00:00Z,,
CBWWBA,Christies Beach,NEM,SA1,-35.125958,138.47135,CBWWPV2,CBWWPV2,solar_utility,operating,1.08,0.81,,,,2041-01-01T00:00:00Z,,
CLARESF,Clare,NEM,QLD1,-19.839817,147.204884,CLARESF1,CLARESF1,solar_utility,operating,110.26,100,,100.2906,,2046-12-31T14:00:00+10:00,2018-04-17T09:15:00+10:00,2026-08-01T16:20:00+10:00
CLRKCWF,Clarke Creek,NEM,QLD1,-22.850446,149.453252,CLRKCWF2,CLRKCWF2,wind,operating,103.5,101,,102.171,,2048-12-31T14:00:00+10:00,2025-04-30T14:40:00+10:00,2026-08-01T16:20:00+10:00
CLRKCWF,Clarke Creek,NEM,QLD1,-22.850446,149.453252,CLRKCWF1,CLRKCWF1,wind,operating,345.5,338,,338.362,,2048-12-31T14:00:00+10:00,2024-10-02T02:05:00+10:00,2026-08-01T16:20:00+10:00
CLAYTON,Clayton,NEM,VIC1,-37.950618,145.119681,CLAYTON,CLAYTON,bioenergy_biogas,operating,11,11,,,,2024-12-31T14:00:00Z,,
CLEMGPWF,Clements Gap,NEM,SA1,-33.489773,138.111695,CLEMGPWF,CLEMGPWF,wind,operating,57,57,,137.0106,,2038-12-31T14:00:00+10:00,2009-05-07T15:35:00+10:00,2026-08-01T14:30:00+10:00
CLEMGPWF,Clements Gap,NEM,SA1,-33.489773,138.111695,CGBESS01,CGBESS01,battery,operating,90.5,60,120,60.28,,2045-12-31T14:00:00+10:00,2026-01-22T12:15:00+10:00,2026-08-01T16:15:00+10:00
CLERMSF,Clermont,NEM,QLD1,-22.837763,147.579322,CLERMSF1,CLERMSF1,solar_utility,operating,92,75,,76.11,,2048-12-31T14:00:00+10:00,2019-06-19T09:55:00+10:00,2026-08-01T16:20:00+10:00
CLOVER,Clover,NEM,VIC1,-36.785257,147.220466,CLOVER,CLOVER,hydro,operating,37.5,37.5,,29.05,,2056-12-31T14:00:00+10:00,2009-07-01T00:05:00+10:00,2026-07-06T07:30:00+10:00
CLUNY,Cluny,NEM,TAS1,-42.506442,146.68104,CLUNY,CLUNY,hydro,operating,19,22,,22.0879,,2099-12-31T14:00:00+10:00,2009-07-01T00:05:00+10:00,2026-08-01T16:20:00+10:00
COCKBURN,Cockburn,WEM,WEM,-32.200134,115.773988,COCKBURN_CCG1,COCKBURN_CCG1,gas_ccgt,operating,249.7,249.7,,266,,2032-12-31T16:00:00+10:00,2013-12-18T08:00:00+10:00,2026-07-02T21:50:00+10:00
CODRGTON,Codrington,NEM,VIC1,-38.282875,141.95496,CODRNGTON,CODRNGTON,wind,operating,18.2,18,,,,2026-12-31T14:00:00Z,,
COHUNSF1,Cohuna,NEM,VIC1,-35.886553,144.217421,COHUNSF1,COHUNSF1,solar_utility,operating,31.1,27,,27.49,,2044-12-31T14:00:00+10:00,2021-03-05T15:30:00+10:00,2026-08-01T16:20:00+10:00
COLEASF,Coleambally,NEM,NSW1,-34.762456,145.928786,COLEASF1,COLEASF1,solar_utility,operating,180,150,,150.9609,,2042-12-31T14:00:00+10:00,2018-09-07T10:40:00+10:00,2026-08-01T16:20:00+10:00
COLWF01,Collector,NEM,NSW1,-34.862066,149.388245,COLWF01,COLWF01,wind,operating,226,219,,218.995,,2045-12-31T14:00:00+10:00,2020-11-12T21:05:00+10:00,2026-08-01T16:20:00+10:00
